role,how they found the pantry
Volunteer,Campus Resources
Volunteer,Tabling Event
Volunteer,Campus Resources
Volunteer,Official Social Media (Ucd/Asucd Affiliated)
Volunteer,Tabling Event
Volunteer,Campus Resources
Volunteer,Official Social Media (Ucd/Asucd Affiliated)
Volunteer,Campus Resources
Volunteer,Friends
Volunteer,Campus Resources
Volunteer,Official Social Media (Ucd/Asucd Affiliated)
Patron,Friends
Volunteer,Official Social Media (Ucd/Asucd Affiliated)
Patron,Friends
Patron,Campus Resources
Volunteer,Tabling Event
Patron,Friends
Patron,Friends
Volunteer,Official Social Media (Ucd/Asucd Affiliated)
Patron,Official Social Media (Ucd/Asucd Affiliated)
Patron,Friends
Patron,Campus Resources
Patron,Walking By
Patron,Campus Resources
Patron,Walking By
Patron,Campus Resources
Patron,Official Social Media (Ucd/Asucd Affiliated)
Patron,Campus Resources
Patron,Walking By
Patron,Official Social Media (Ucd/Asucd Affiliated)
Patron,Official Social Media (Ucd/Asucd Affiliated)
Patron,Official Social Media (Ucd/Asucd Affiliated)
Patron,Walking By
Volunteer,Walking By
Volunteer,Emails
Patron,Friends
Volunteer,Friends
Patron,Campus Resources
Volunteer,Friends
Patron,Campus Resources
Patron,Tabling Event
Patron,Walking By
Volunteer,Official Social Media (Ucd/Asucd Affiliated)
Patron,Campus Resources
Patron,Friends
Patron,Friends
Patron,Friends
Volunteer,Walking By
Volunteer,Campus Resources
Patron,Campus Resources
Volunteer,Official Social Media (Ucd/Asucd Affiliated)
Patron,Campus Resources
Patron,Friends
Patron,Campus Resources
Patron,Friends
Patron,Campus Resources
Patron,Official Social Media (Ucd/Asucd Affiliated)
Patron,Official Social Media (Ucd/Asucd Affiliated)
Patron,Official Social Media (Ucd/Asucd Affiliated)
Patron,Campus Resources
Patron,Campus Resources
Patron,Campus Resources
Patron,Campus Resources
Patron,Friends
Patron,Friends
Patron,Campus Resources
Patron,Friends
Patron,Friends
Patron,Official Social Media (Ucd/Asucd Affiliated)
Patron,Official Social Media (Ucd/Asucd Affiliated)
Patron,Friends
Patron,Walking By
Patron,Official Social Media (Ucd/Asucd Affiliated)
Patron,Campus Resources
Patron,Official Social Media (Ucd/Asucd Affiliated)
Patron,Walking By
Patron,Campus Resources
Patron,Official Social Media (Ucd/Asucd Affiliated)
Patron,Campus Resources
Patron,Official Social Media (Ucd/Asucd Affiliated)
Patron,Friends
Patron,Campus Resources
Patron,Campus Resources
Patron,Campus Resources
Patron,Friends
Patron,Campus Resources
Volunteer,Friends
Patron,Friends
Patron,Official Social Media (Ucd/Asucd Affiliated)
Patron,Campus Resources
Patron,Walking By
Patron,Friends
Volunteer,Tabling Event
Patron,Friends
Patron,Campus Resources
Patron,Friends
Patron,Friends
Patron,Campus Resources
Patron,Friends
Patron,Friends
Patron,Official Social Media (Ucd/Asucd Affiliated)
Patron,Campus Resources
Patron,Campus Resources
Patron,Campus Resources
Patron,Campus Resources
Patron,Official Social Media (Ucd/Asucd Affiliated)
Patron,Campus Resources
Patron,Official Social Media (Ucd/Asucd Affiliated)
Patron,Friends
Patron,Friends
Patron,Campus Resources
Patron,Campus Resources
Patron,Campus Resources
Patron,Campus Resources
Patron,Campus Resources
Patron,Friends
Patron,Walking By
